Investigator_ID,Cases_Handled,Avg_Investigation_Time,Efficiency_Score
INV_9,409,91.02689486552568,4.493177544990599
INV_20,400,92.135,4.341455472947305
INV_24,389,96.0694087403599,4.04915576248963
INV_6,382,93.50523560209425,4.085332736078837
INV_11,382,93.76701570680628,4.073927245316732
INV_22,378,95.74603174603175,3.9479442970822283
INV_2,376,90.18085106382979,4.169399551728206
INV_14,375,94.33333333333333,3.975265017667845
INV_17,373,91.38069705093834,4.081824849640604
INV_21,372,92.89516129032258,4.004514280753538
INV_5,371,95.02156334231806,3.9043769324596487
INV_7,371,94.6522911051213,3.919609294908304
INV_19,367,98.8283378746594,3.713509787703336
INV_12,367,93.89373297002724,3.9086740764386665
INV_15,363,94.2892561983471,3.849855377333684
INV_16,363,93.28099173553719,3.8914680606006913
INV_8,360,92.17777777777778,3.90549662487946
INV_18,359,91.78551532033426,3.911292525264787
INV_23,357,94.95518207282913,3.7596684267972504
INV_10,357,93.24369747899159,3.8286770007209805
INV_4,346,95.9364161849711,3.6065554015785986
INV_3,343,92.61807580174927,3.7033807605137246
INV_13,341,94.6099706744868,3.604271278903974
INV_25,335,93.77910447761194,3.572224344283168
INV_1,331,91.93957703927492,3.600190588853838
