Alert_ID,Transaction_ID,Customer_ID,Alert_Date,Risk_Score,Risk_Tier,Investigation_Status,Investigator_ID,Investigation_Start,Investigation_End,Resolution_Time_Minutes,Outcome
1,3591183,C837745698,2020-01-11 22:00:00,0.479421081019987,Medium,Pending,INV_21,2020-01-01 01:33:00,2020-01-01 02:09:00,36,Fraud
2,3592662,C1719653359,2020-01-11 22:00:00,0.4082180317078922,Medium,Pending,INV_9,2020-01-01 02:27:00,2020-01-01 03:55:00,88,False Positive
3,3610922,C1666560485,2020-01-12 03:00:00,0.483915326529133,Medium,Pending,INV_17,2020-01-01 02:22:00,2020-01-01 02:59:00,37,Fraud
4,3611623,C292308787,2020-01-12 09:00:00,0.5710569838078845,Medium,Pending,INV_12,2020-01-01 02:02:00,2020-01-01 04:05:00,123,Fraud
5,3623212,C744401564,2020-01-12 10:00:00,0.6593939581016333,Medium,Pending,INV_12,2020-01-01 02:29:00,2020-01-01 03:30:00,61,False Positive
6,3623213,C1350487416,2020-01-12 10:00:00,0.4578504286349131,Medium,Pending,INV_18,2020-01-01 01:48:00,2020-01-01 03:43:00,115,Fraud
7,3627567,C2025015781,2020-01-12 10:00:00,0.5656719199984774,Medium,Pending,INV_7,2020-01-01 01:42:00,2020-01-01 03:53:00,131,Fraud
8,3627568,C385774270,2020-01-12 10:00:00,0.4236764888504386,Medium,Pending,INV_8,2020-01-01 02:19:00,2020-01-01 02:45:00,26,False Positive
9,3633293,C747770450,2020-01-12 10:00:00,0.4366720131080225,Medium,Pending,INV_7,2020-01-01 02:23:00,2020-01-01 04:05:00,102,False Positive
10,3633677,C962712321,2020-01-12 10:00:00,0.4896973363921048,Medium,Pending,INV_2,2020-01-01 01:54:00,2020-01-01 02:20:00,26,False Positive
11,3635658,C1043576460,2020-01-12 10:00:00,0.6828172855782095,Medium,Pending,INV_21,2020-01-01 01:34:00,2020-01-01 03:00:00,86,Fraud
12,3635970,C448636896,2020-01-12 10:00:00,0.4237606101392003,Medium,Pending,INV_10,2020-01-01 02:46:00,2020-01-01 03:03:00,17,Fraud
